Image name,MOS,Brightness,Colorfulness,Contrast,Noisiness,Sharpness
00001.jpg,48.86,47.43,55.57,55.71,37.86,42.57
00002.jpg,62.5,55.38,67.13,53.13,57.5,47.5
00003.jpg,77.25,62.38,72.63,65.75,72.25,82.71
00004.jpg,67,68.43,69.43,67,67.86,63.29
00005.jpg,22.71,54.29,62.14,51,38.43,15.57
00006.jpg,33.17,23.83,48,46.43,63.71,47.29
00007.jpg,73,73.11,71.89,75.89,78,76.44
00008.jpg,20.14,33.86,50.71,37.14,38.86,13.29
00009.jpg,12.5,40.75,51.63,31.71,39.5,8.88
00010.jpg,56.25,49.75,63.38,57.38,57.63,65.5
00011.jpg,63.13,60.13,64.13,65.5,74.57,70.63
00012.jpg,20.14,14.71,43.88,29.75,41.75,45.13
00013.jpg,25,31,51.43,39.14,28.57,26.14
00014.jpg,5.83,7,13.43,10,23.14,9.57
00015.jpg,29.11,60.33,52,52.44,39.44,17.13
00016.jpg,76.14,76.57,74.71,76.86,76.57,77.29
00017.jpg,56.29,63,67.57,66,64.14,61.29
00018.jpg,31.57,57.14,58.14,60.29,41.43,29.14
00019.jpg,70.57,67,63.14,71.86,70.14,72.29
00020.jpg,59.88,54.88,73.38,67.25,64.13,58.13
00021.jpg,74.13,76.71,82.29,77.5,75.88,79.29
00022.jpg,58.75,51.88,66.25,64.75,60.13,60.88
00023.jpg,44.13,32.25,61.75,43.75,56.13,53.63
00024.jpg,36.75,55.38,62.63,53.63,51.13,28.71
00025.jpg,56,51.5,61,58,43.25,42.75
00026.jpg,71.43,70.57,69.57,72.43,75,76.43
00027.jpg,48.88,52.75,59.88,61.63,46.75,52
00028.jpg,8.86,42.29,47.29,41.71,29.14,5.43
00029.jpg,16.86,48.43,44.43,49,26.29,14.14
00030.jpg,41,48.57,63.14,50.43,28.57,19.33
00031.jpg,78.83,78.5,75.17,76.83,73.5,75.33
00032.jpg,70.86,62.86,74.57,71.43,65.43,63.57
00033.jpg,64.83,59.5,73,69.33,63.67,71.67
00034.jpg,91.2,79.17,90,81.67,79,82.5
00035.jpg,38.17,62.17,68.17,66.17,51.5,27.17
00036.jpg,27,27.5,32.33,42,34.67,26.5
00037.jpg,64.71,64.29,64.29,67,61.71,62.57
00038.jpg,8,24,18.67,10.5,18.17,7.17
00039.jpg,63,59.57,66.29,65.71,62.43,65.29
00040.jpg,25.17,35,34.67,32.5,32,17.17
00041.jpg,22.5,26.17,27.67,34.67,33.33,25
00042.jpg,50.29,44.14,47.29,47.86,49.29,49.86
00043.jpg,51.83,41.67,51.5,51.67,57.67,59.5
00044.jpg,34.17,44.17,47.33,50.17,43.33,37
00045.jpg,8.71,22.14,13.43,21.86,15.83,21.86
00046.jpg,16.67,28.5,28.5,21.83,30.67,11.17
00047.jpg,22.57,51.29,38.57,41.43,35.86,7
00048.jpg,22.43,53.86,56.43,56,43.86,11.71
00049.jpg,36.83,40.67,53,52.17,29.17,35.17
00050.jpg,58.83,57.17,61.5,58.33,52.33,57.33
00051.jpg,11.67,26.17,34,25.5,29,8.33
00052.jpg,75.83,72.33,74.5,73.83,75.5,75.17
00053.jpg,71,64.83,68.17,84.6,74.67,76.67
00054.jpg,19.33,47.67,41.67,46.5,31,14.17
00055.jpg,14,45.17,38.83,43.33,31.17,10.33
00056.jpg,67,62.89,68.44,66.67,61.44,63.67
00057.jpg,65.56,63.11,71.67,70.33,60.89,61.22
00058.jpg,45.7,46,51.6,49.3,51.2,47.5
00059.jpg,32.6,65.78,67.33,65.44,49.8,32.3
00060.jpg,16.13,51.78,52.56,44.33,39.33,26.56
00061.jpg,78,76.33,76.67,70.67,70.56,71.78
00062.jpg,32.5,53.22,61.89,55.44,49.89,32.22
00063.jpg,37.6,38.6,58.3,51.2,52.5,24.44
00064.jpg,31.33,51.44,56.56,47.11,39.11,18.44
00065.jpg,32.78,51.78,49.22,50.78,38.22,26.22
00066.jpg,67.63,68.25,68.63,68.88,65.63,67.13
00067.jpg,67.86,72.86,68,66.43,67.86,68
00068.jpg,18.63,35.38,39.5,35.88,27.5,13.14
